RBP	geneID	geneName	geneType	clusterNum	clipExpNum	clipIDnum	HepG2(shRNA)	K562(shRNA)	HepG2(CRIPSR)	K562(CRIPSR)	pancancerNum
U2AF2	ENSG00000136997	MYC	protein_coding	7	15	44	NA	-0.823	NA	NA	18
UPF1	ENSG00000136997	MYC	protein_coding	4	5	25	-0.429	-0.697	NA	NA	19
WDR33	ENSG00000136997	MYC	protein_coding	1	1	2	NA	NA	NA	NA	19
WDR4	ENSG00000136997	MYC	protein_coding	5	4	17	NA	NA	NA	NA	29
XRN2	ENSG00000136997	MYC	protein_coding	2	1	2	-0.247	NA	NA	NA	27
YBX1	ENSG00000136997	MYC	protein_coding	4	5	14	NA	NA	0.265	NA	27
YBX3	ENSG00000136997	MYC	protein_coding	1	1	1	NA	NA	NA	NA	23
YTHDC1	ENSG00000136997	MYC	protein_coding	9	8	34	NA	NA	NA	NA	20
YTHDF1	ENSG00000136997	MYC	protein_coding	3	7	50	NA	NA	NA	NA	17
YTHDF2	ENSG00000136997	MYC	protein_coding	6	16	64	NA	NA	NA	NA	21
YTHDF3	ENSG00000136997	MYC	protein_coding	6	5	80	NA	NA	NA	NA	18
ZC3H11A	ENSG00000136997	MYC	protein_coding	1	1	1	NA	NA	-0.100	NA	13
ZC3H7B	ENSG00000136997	MYC	protein_coding	1	1	1	NA	NA	NA	NA	22
ZCCHC14	ENSG00000136997	MYC	protein_coding	5	2	9	NA	NA	NA	NA	16
ZCCHC4	ENSG00000136997	MYC	protein_coding	2	2	3	NA	NA	NA	NA	20
ZFP36	ENSG00000136997	MYC	protein_coding	1	1	1	NA	NA	NA	NA	22
ZNF800	ENSG00000136997	MYC	protein_coding	1	3	3	NA	NA	NA	NA	22
